Linha,924
Tabela,006-2
num,ponto,horario
106018,TERMINAL SANTA FELICIDADE,16:10
120032,CRUZ DO PILARZINHO/STA.CANDIDA,16:40
105905,TERMINAL SANTA CANDIDA,17:18
120033,CRUZ DO PILARZINHO/STA.FELICID,17:50
106018,TERMINAL SANTA FELICIDADE,18:28
120032,CRUZ DO PILARZINHO/STA.CANDIDA,18:58
105905,TERMINAL SANTA CANDIDA,19:35
120033,CRUZ DO PILARZINHO/STA.FELICID,20:03
106018,TERMINAL SANTA FELICIDADE,20:40
120032,CRUZ DO PILARZINHO/STA.CANDIDA,21:05
105905,TERMINAL SANTA CANDIDA,21:32
120033,CRUZ DO PILARZINHO/STA.FELICID,21:58
106018,TERMINAL SANTA FELICIDADE,22:25
120032,CRUZ DO PILARZINHO/STA.CANDIDA,22:50
105905,TERMINAL SANTA CANDIDA,23:17
120033,CRUZ DO PILARZINHO/STA.FELICID,23:43
106018,TERMINAL SANTA FELICIDADE,00:10
120032,CRUZ DO PILARZINHO/STA.CANDIDA,00:32
