Linha,924
Tabela,004-2
num,ponto,horario
106018,TERMINAL SANTA FELICIDADE,16:40
120032,CRUZ DO PILARZINHO/STA.CANDIDA,17:08
105905,TERMINAL SANTA CANDIDA,17:44
120033,CRUZ DO PILARZINHO/STA.FELICID,18:12
106018,TERMINAL SANTA FELICIDADE,18:45
120032,CRUZ DO PILARZINHO/STA.CANDIDA,19:15
105905,TERMINAL SANTA CANDIDA,19:47
120033,CRUZ DO PILARZINHO/STA.FELICID,20:13
106018,TERMINAL SANTA FELICIDADE,20:40
120032,CRUZ DO PILARZINHO/STA.CANDIDA,21:05
105905,TERMINAL SANTA CANDIDA,21:32
120033,CRUZ DO PILARZINHO/STA.FELICID,21:58
106018,TERMINAL SANTA FELICIDADE,22:25
120032,CRUZ DO PILARZINHO/STA.CANDIDA,22:50
105905,TERMINAL SANTA CANDIDA,23:17
120033,CRUZ DO PILARZINHO/STA.FELICID,23:43
106018,TERMINAL SANTA FELICIDADE,00:10
120032,CRUZ DO PILARZINHO/STA.CANDIDA,00:32
