Linha,655
Tabela,002
num,ponto,horario
170434,RUA DOLORES GUEDES,05:25
170438,BAIRRO JARDIM DA ORDEM,05:30
105708,TERMINAL PINHEIRINHO,06:07
170438,BAIRRO JARDIM DA ORDEM,06:30
105708,TERMINAL PINHEIRINHO,07:23
170438,BAIRRO JARDIM DA ORDEM,07:46
105708,TERMINAL PINHEIRINHO,08:33
170438,BAIRRO JARDIM DA ORDEM,08:56
105708,TERMINAL PINHEIRINHO,09:36
170438,BAIRRO JARDIM DA ORDEM,10:00
105708,TERMINAL PINHEIRINHO,10:40
170438,BAIRRO JARDIM DA ORDEM,11:04
105708,TERMINAL PINHEIRINHO,11:44
170438,BAIRRO JARDIM DA ORDEM,12:08
105708,TERMINAL PINHEIRINHO,12:48
170438,BAIRRO JARDIM DA ORDEM,13:12
105708,TERMINAL PINHEIRINHO,13:52
170438,BAIRRO JARDIM DA ORDEM,14:16
105708,TERMINAL PINHEIRINHO,14:56
170438,BAIRRO JARDIM DA ORDEM,15:20
105708,TERMINAL PINHEIRINHO,16:00
170438,BAIRRO JARDIM DA ORDEM,16:26
105708,TERMINAL PINHEIRINHO,17:06
170438,BAIRRO JARDIM DA ORDEM,17:34
105708,TERMINAL PINHEIRINHO,18:16
170438,BAIRRO JARDIM DA ORDEM,18:44
105708,TERMINAL PINHEIRINHO,19:26
170438,BAIRRO JARDIM DA ORDEM,19:49
105708,TERMINAL PINHEIRINHO,20:26
170438,BAIRRO JARDIM DA ORDEM,20:49
105708,TERMINAL PINHEIRINHO,21:26
170438,BAIRRO JARDIM DA ORDEM,21:49
105708,TERMINAL PINHEIRINHO,22:26
170438,BAIRRO JARDIM DA ORDEM,22:49
105708,TERMINAL PINHEIRINHO,23:26
170438,BAIRRO JARDIM DA ORDEM,23:49
105708,TERMINAL PINHEIRINHO,00:26
