Linha,213
Tabela,002
num,ponto,horario
130981,ESTACAO SOLAR,06:22
104408,TERMINAL CABRAL,06:45
130981,ESTACAO SOLAR,07:10
104408,TERMINAL CABRAL,07:35
130981,ESTACAO SOLAR,08:00
104408,TERMINAL CABRAL,08:25
130981,ESTACAO SOLAR,08:50
104408,TERMINAL CABRAL,09:12
130981,ESTACAO SOLAR,09:35
104408,TERMINAL CABRAL,09:57
130981,ESTACAO SOLAR,10:20
104408,TERMINAL CABRAL,10:42
130981,ESTACAO SOLAR,11:05
104408,TERMINAL CABRAL,11:30
130981,ESTACAO SOLAR,11:55
104408,TERMINAL CABRAL,12:20
130981,ESTACAO SOLAR,12:45
104408,TERMINAL CABRAL,13:10
130981,ESTACAO SOLAR,13:35
104408,TERMINAL CABRAL,14:00
130981,ESTACAO SOLAR,14:25
104408,TERMINAL CABRAL,14:50
130981,ESTACAO SOLAR,15:15
104408,TERMINAL CABRAL,15:40
130981,ESTACAO SOLAR,16:05
104408,TERMINAL CABRAL,16:30
130981,ESTACAO SOLAR,16:55
104408,TERMINAL CABRAL,17:20
130981,ESTACAO SOLAR,17:48
104408,TERMINAL CABRAL,18:16
130981,ESTACAO SOLAR,18:44
104408,TERMINAL CABRAL,19:12
130981,ESTACAO SOLAR,19:40
104408,TERMINAL CABRAL,20:08
130981,ESTACAO SOLAR,20:30
104408,TERMINAL CABRAL,20:52
130981,ESTACAO SOLAR,21:15
104408,TERMINAL CABRAL,21:37
130981,ESTACAO SOLAR,22:00
104408,TERMINAL CABRAL,22:22
130981,ESTACAO SOLAR,22:45
104408,TERMINAL CABRAL,23:07
130981,ESTACAO SOLAR,23:30
104408,TERMINAL CABRAL,23:50
130981,ESTACAO SOLAR,00:10
104408,TERMINAL CABRAL,00:30
