Linha,305
Tabela,002-2
num,ponto,horario
109036,MARECHAL DEODORO,16:57
109115,TERMINAL CENTENARIO,17:24
109036,MARECHAL DEODORO,17:49
109115,TERMINAL CENTENARIO,18:15
109036,MARECHAL DEODORO,18:40
109115,TERMINAL CENTENARIO,19:06
109036,MARECHAL DEODORO,19:31
109115,TERMINAL CENTENARIO,19:50
109036,MARECHAL DEODORO,20:13
109115,TERMINAL CENTENARIO,20:34
109036,MARECHAL DEODORO,20:55
109115,TERMINAL CENTENARIO,21:18
109036,MARECHAL DEODORO,21:37
109115,TERMINAL CENTENARIO,22:01
109036,MARECHAL DEODORO,22:19
109115,TERMINAL CENTENARIO,22:43
109036,MARECHAL DEODORO,23:01
109115,TERMINAL CENTENARIO,23:25
109036,MARECHAL DEODORO,23:45
